"","resultCTRs","resultCosts"
"1",0.0389,0.467189
"2",0.0389,0.560549
"3",0.00167,0.0175517
"4",0.0043,0.048418
"5",0.0284,0.511484
"6",0.0389,0.583889
"7",0.0284,0.404195111111111
"8",0.01105,0.0948247857142857
"9",0.0389,0.666011222222222
"10",0.0284,0.532784
"11",0.00023,2.3e-06
"12",0.05329,0.6400129
"13",0.02073,0.3774933
"14",0.0043,0.036593
"15",0.0043,0.048418
"16",0.01105,0.173753357142857
"17",0.0284,0.434804
"18",0.0284,0.511484
"19",0.0389,0.423966777777778
"20",0.01513,0.1892763
